"DocPath","IssueTypes","ExistingBacklogIds","GeneratedBacklogId","Priority","Evidence","Recommendation","Status"
"docs/CCWM/Confictura_Codex_World_Map.md","NeedsReworkOrTodo","","DOC-0001","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/CCWM/generated/Run_Index.md","NeedsReworkOrTodo","","DOC-0002","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Access_Level_Stone.md","MissingSourceTrace","","DOC-0003","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Animal_Shape_Stones.md","MissingSourceTrace","WIKI-0015","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Animal_Trainer_Stable_Claim.md","MissingSourceTrace","","DOC-0004","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Apiculture_Beekeeping.md","NeedsReworkOrTodo","","DOC-0005","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/auditautomationprompt.md","NeedsReworkOrTodo","","DOC-0006","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Auto_Sheath.md","MissingSourceTrace","","DOC-0007","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Banker_Speech_Commands.md","MissingSourceTrace","WIKI-0013","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Barbaric_Play_Style.md","MissingSourceTrace","","DOC-0008","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Bard_Song_Magic.md","MissingSourceTrace","","DOC-0009","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Base_Spell_Framework.md","MissingSourceTrace","","DOC-0010","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Boat_Core_Mechanics.md","MissingSourceTrace","","DOC-0011","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/boat-navigation-control.md","MissingSourceTrace","","DOC-0012","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/bond-info-command.md","MissingSourceTrace","","DOC-0013","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Book_Publisher.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0014","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Bulk_Order_System.md","MissingSourceTrace","","DOC-0015","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Bushido.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0016","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Champion_Spawns.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0017","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Change_Season_Command.md","MissingSourceTrace","","DOC-0018","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Character_Level_Recon_Report.md","MissingSourceTrace","","DOC-0019","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Character_Swap.md","MissingSourceTrace","","DOC-0020","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Chat_System.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0021","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Clear_Deck_Command.md","MissingSourceTrace","","DOC-0022","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Clone_Offline_Player_Characters.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0023","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Command_Utilities.md","MissingSourceTrace","","DOC-0024","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Confictura_Introduction.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0025","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Crafting_Core.md","MissingSourceTrace","","DOC-0026","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Creature_AI_Core.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0027","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Creature_Transformation_Guide.md","MissingSourceTrace","","DOC-0028","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Custom_Title_Feature.md","MissingSourceTrace","","DOC-0029","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Death_Knight_Magic.md","MissingSourceTrace","","DOC-0030","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Druidism.md","MissingSourceTrace","","DOC-0031","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Elementalism.md","MissingSourceTrace","","DOC-0032","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Enchantments.md","MissingSourceTrace","","DOC-0033","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Farmable_Crops_System.md","MissingSourceTrace","","DOC-0034","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/fixautomationprompt.md","NeedsReworkOrTodo","","DOC-0035","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Flip_Deed.md","MissingSourceTrace","","DOC-0036","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/GM_Hiding_Stone.md","MissingSourceTrace","","DOC-0037","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Goliath_Monsters.md","MissingSourceTrace","","DOC-0038","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Government_System.md","MissingSourceTrace","","DOC-0039","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Grave_Robbing_Trade.md","MissingSourceTrace","","DOC-0040","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Guide_To_Adventure_Book.md","MissingSourceTrace","","DOC-0041","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Gump_Framework.md","MissingSourceTrace","","DOC-0042","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Harvest_Resource_System.md","MissingSourceTrace","","DOC-0043","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Help_Request_System.md","MissingSourceTrace","","DOC-0044","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Holy_Man_Magic.md","MissingSourceTrace","","DOC-0045","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Homestead_System.md","MissingSourceTrace","","DOC-0046","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Housing_System.md","MissingSourceTrace","","DOC-0047","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Invasion_System.md","MissingSourceTrace","","DOC-0048","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Jedi_Magic.md","MissingSourceTrace","","DOC-0049","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Jester_Magic.md","MissingSourceTrace","","DOC-0050","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Knight_Chivalry.md","MissingSourceTrace","","DOC-0051","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Librarian_Trade.md","MissingSourceTrace","","DOC-0052","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Mage_Spellcasting_Tips.md","MissingSourceTrace","","DOC-0053","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Magery_Spell_Color_Setting.md","MissingSourceTrace","","DOC-0054","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Magery_Spell_System.md","MissingSourceTrace","","DOC-0055","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Magic_Toolbars_Guide.md","MissingSourceTrace","","DOC-0056","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Misc_Core_Systems.md","MissingSourceTrace","","DOC-0057","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Misc_Magic_Spells.md","MissingSourceTrace","","DOC-0058","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Monster_Nest_System.md","MissingSourceTrace","","DOC-0059","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Mystic_Magic.md","MissingSourceTrace","","DOC-0060","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Necromancy.md","MissingSourceTrace","","DOC-0061","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Ninjitsu.md","MissingSourceTrace","","DOC-0062","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/NPC_Control_Commands.md","MissingSourceTrace","","DOC-0063","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/NPC_Mage_Advice.md","MissingSourceTrace","","DOC-0064","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/NPC_Shipwright_Sailing_Guide.md","MissingSourceTrace","","DOC-0065","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Obsolete_Script_Collection.md","MissingSourceTrace","","DOC-0066","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/offline-skill-training.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0067","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/OmniAI.md","MissingSourceTrace","","DOC-0068","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Pandoras_Gift_Box.md","MissingSourceTrace","","DOC-0069","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Player_Government_System_Guide.md","MissingSourceTrace","","DOC-0070","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/player-range-sensitive-mod.md","MissingSourceTrace","","DOC-0071","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/point-command.md","MissingSourceTrace","","DOC-0072","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/pvp-consent-system.md","AliasIndependentClaims","","DOC-0073","Medium","Alias page carries independent behavior claims instead of only pointing to the canonical page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Quest_Framework.md","MissingSourceTrace","","DOC-0074","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Race_Token_System.md","MissingSourceTrace","","DOC-0075","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Random_Encounter_Engine.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0076","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Ranger_Survival_Training.md","MissingSourceTrace","","DOC-0077","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Real_Estate_Broker_Appraisal.md","MissingSourceTrace","WIKI-0014","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Region_System.md","MissingSourceTrace","","DOC-0078","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Relic_Items.md","MissingSourceTrace","","DOC-0079","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Research_Magic.md","MissingSourceTrace","","DOC-0080","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Search_System.md","MissingSourceTrace","","DOC-0081","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Shinobi_Magic.md","MissingSourceTrace","","DOC-0082","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Shipwright_Sailing_Tutorial.md","MissingSourceTrace","","DOC-0083","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Skill_Lists.md","MissingSourceTrace","","DOC-0084","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Skill_Scripts.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0085","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/skill-stone.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0086","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Staff_Toolbar.md","MissingSourceTrace;NeedsReworkOrTodo","","DOC-0087","High","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Standard_Crafting.md","NeedsReworkOrTodo","","DOC-0088","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Static_Gump_Tool.md","MissingSourceTrace","","DOC-0089","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Stonecrafting.md","MissingSourceTrace","","DOC-0090","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/SystemAudit.md","UnindexedWikiPage;MissingSourcePath;NeedsReworkOrTodo","WIKI-0001;WIKI-0002;WIKI-0003;WIKI-0004;WIKI-0005;WIKI-0006;WIKI-0007;WIKI-0008;WIKI-0009;WIKI-0010;WIKI-0011;WIKI-0012;WIKI-0013;WIKI-0014;WIKI-0016;WIKI-0017","","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; References source paths that do not exist on disk.; Wiki page is not linked from docs/wiki/INDEX.md.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Syth_Magic.md","MissingSourceTrace","","DOC-0091","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Taxidermy.md","MissingSourceTrace","","DOC-0092","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Technology_Items.md","MissingSourceTrace","","DOC-0093","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/tell-a-friend.md","MissingSourceTrace","","DOC-0094","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/The_One_Ring.md","MissingSourceTrace","WIKI-0015","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/Trade_Guild_Enhancements.md","MissingSourceTrace","","DOC-0095","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Vendor_Core_System.md","MissingSourceTrace","","DOC-0096","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Voting_Rewards.md","MissingSourceTrace","WIKI-0015","","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","ExistingBacklog"
"docs/wiki/voting-system.md","AliasIndependentClaims","","DOC-0097","Medium","Alias page carries independent behavior claims instead of only pointing to the canonical page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/wikiautomationmemory.md","NeedsReworkOrTodo","","DOC-0098","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/wikibacklog.md","NeedsReworkOrTodo","","DOC-0099","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; Traced source files have serialized state, but persistence is not clearly documented.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/wikihandoff.md","NeedsReworkOrTodo","","DOC-0100","Medium","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/Witchcraft.md","MissingSourceTrace","","DOC-0101","High","Missing Source Trace section.; No existing source files were extracted from the page.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/World_Basics_Commands.md","MissingSourceTrace","","DOC-0102","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
"docs/wiki/XML_Spawner_Enhancements.md","MissingSourceTrace","","DOC-0103","High","Missing Source Trace section.","Verify against source/register outputs, update or reduce the page, then record the result in docs/wiki/wikibacklog.md or Phase 13 repair backlog.","Open"
