"RiskId","System","DocPath","Title","RiskReason","CanonicalPage","SourceTracePresent","StaleClaims","MissingSourceFiles","ExistingBacklogIds","GeneratedBacklogId","Recommendation","Evidence"
"DOC-RISK-0123","Unknown","docs/wiki/SystemAudit.md","System Audit","Missing source-backed claim or alias cleanup needed;Referenced source path missing;Stale or Needs Rework marker present","Unknown","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.; References source paths that do not exist on disk.","Data/Scripts/Custom/BoatNavigationTotem/BoatNavigationTotam.cs) | Code-Verified 2026-05-06; Needs Rework | Low | Command-opened;Data/Scripts/Custom/Player Range Sensitive Mod/setdeactivation.cs) | Code-Verified 2026-05-06; Needs Rework | Low | Runtime AI deactivation delay for player-range-sensitive creatures. [Documentation](wiki/player-range-sensitive-mod.md). Needs C# rework;Data/Scripts/Custom/Access Level Stone [2.0]/AccessLevelStone.cs) | Code-Verified 2026-05-04; Needs Rework | Low | Blessed staff item that toggles its owner between stored staff access and;Data/Scripts/Custom/NPC Control/CloneCommands.cs) | Code-Verified 2026-05-06 | Medium | Counselor-level clone/control and helper staff commands. [Documentation](wiki/NPC_Control_Commands.md). Reworked 2026-05-06: retired unsupported;Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs) | Code-Verified 2026-05-06; Needs Rework | Low | Player command that deletes NPC corpses and empty player corpses from the boat the caller is standing on. [Documentation](wiki/Clear_Deck_Command.md). Needs C# rework;Data/Scripts/Custom/Character Swap/CharacterSwap.cs) | Code-Verified 2026-05-06; Needs Rework | Low | Administrator;Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs) | Code-Verified 2026-05-05; Needs Rework | High | Dynamic world encounter spawns. [Documentation](wiki/Random_Encounter_Engine.md). Needs C# rework;Data/Scripts/Custom/Invasion System/Sosaria) | Code-Verified 2026-05-05; Needs Rework | High | Multi-map invasion gump with per-city scripted spawners and stone-based cleanup. [Documentation](wiki/Invasion_System.md). Needs C# rework: the Lodor Nu'Jelm button opens the Sosaria gump, every Underworld start script spawns on;Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs) | Code-Verified 2026-05-06; Needs Rework | High | XML spawner, attachment, packet-hook, and quest helper package. [Documentation](wiki/XML_Spawner_Enhancements.md). Needs C# rework;Data/Scripts/Custom/MonsterNest/MonsterNest.cs) | Documented 2026-05-07 | Medium | Item-driven spawner with proxy combat;Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs) | Code-Verified 2026-05-06; Needs Rework | High | Player city founding, elections, taxes, civic structures, and region rules. [Documentation](wiki/Government_System.md). Needs C# rework;Data/Scripts/Custom/OmniAI/OmniAI Core.cs) | Code-Verified 2026-05-06; Needs Rework | High | Modular combat AI with module-gated Bushido, Knightship, Magery, Necromancy, and Ninjitsu actions. [Documentation](wiki/OmniAI.md). Needs C# rework;Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/) | Code-Verified 2026-05-06; Needs Rework | High | Agriculture, craft menus, wine, beehive, and milk/cheese bundle. [Documentation](wiki/Homestead_System.md). Needs C# rework: many crop classes open;Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs) | Documented 2026-05-07; Needs Rework | Medium | Event-driven logged-out player clone system with hireable;Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Barracoon.cs) | Code-Verified 2026-05-06; Needs Rework | High | Custom champion boss encounters. [Documentation](wiki/Champion_Spawns.md). Needs C# rework;Data/Scripts/Custom/LOTR - The One Ring/TheOneRing.cs) | Documented 2026-05-07; Needs Rework | Medium | Cursed equip-triggered artifact ring with direct hit loss, stealth, charge use, and duplicated ringwraith spawn rolls. [Documentation](wiki/The_One_Ring.md). Needs C# rework;Data/Scripts/Trades/Apiculture/BeeHiveAddon.cs) | Documented 2026-05-07; Needs Rework | Medium | World-save beehive growth, potion care, honey/raw wax harvest, wax rendering, and Cooking-based wax crafting. [Documentation](wiki/Apiculture_Beekeeping.md). Needs C# rework;Data/Scripts/Trades/Core/Gumps/CraftGump.cs) | Documented 2026-05-07; Needs Rework | High | Shared RunUO craft catalog, per-Mobile context, gumps, resource checks, maker's marks, repair/resmelt/enhance targets, and recipe commands. [Documentation](wiki/Crafting_Core.md). Needs C# rework: stale context indices can throw in;Data/Scripts/Trades/Crafting/DefBlacksmithy.cs) | Documented 2026-05-07; Needs Rework | High | Standard;Data/Scripts/Trades/Gardening/PlantBowl.cs) | Documented 2026-05-07; Needs Rework | Medium | Plant bowl, seed, growth, care, cross-pollination, resource harvest, and green-thorn effects. [Documentation](wiki/Gardening_System.md). Needs C# rework;Data/Scripts/Trades/Grave Robbing/GraveRobbing.cs) | Documented 2026-05-07; Needs Rework | Medium | Forensics-based grave harvest with body-part/reagent drops, ML relic bonuses, awakened undead, criminal witness rolls, and grave chests. [Documentation](wiki/Grave_Robbing_Trade.md). Needs C# rework: undead mobiles are constructed before the spawn roll and left unplaced/undeleted when the roll fails; broad;Data/Scripts/Trades/Guild/EnhancementStoneProcess.cs) | Documented 2026-05-07; Needs Rework | Medium | Guild-only extraordinary tools enhance eligible equipment through a shared attribute gump and gold cost formula. [Documentation](wiki/Trade_Guild_Enhancements.md). Needs C# rework;Data/Scripts/Trades/Harvest/HarvestDefinition.cs) | Documented 2026-05-07; Needs Rework | Medium | Shared;Data/Scripts/Trades/Librarian/Librarian.cs) | Documented 2026-05-07; Needs Rework | Low | Inscribe-based monocle harvest system for dangerous-area library tiles, with scroll/book/relic rewards and shelf bonus rolls. [Documentation](wiki/Librarian_Trade.md). Needs C# rework: library scroll classes all force;Data/Scripts/Trades/Runics/BaseRunicHammer.cs) | Documented 2026-05-07; Needs Rework | Medium | Runic craft tools share;Data/Scripts/Trades/Stone/BaseStatue.cs) | Documented 2026-05-08; Needs Rework | Medium | Masonry;Data/Scripts/Trades/Taxidermy/MountedTrophyHead.cs) | Documented 2026-05-08; Needs Rework | Low | Item-driven taxidermy kit, trophy base, mounting base, stuffing basket, passive skull/heart drops, and corpse reuse flag. [Documentation](wiki/Taxidermy.md). Needs C# rework: legacy;Data/Scripts/Magic/Bushido/BookOfBushido.cs) | Documented 2026-05-08; Needs Rework | High | Samurai spellbook, stance spells, special moves, parry/evasion hooks, and Honor/Perfection integration. [Documentation](wiki/Bushido.md). Needs C# rework: successful;Data/Scripts/Magic/Druidism/HerbalistSpell.cs) | Documented 2026-05-08; Needs Rework | High | Potion-backed Druidism spell line, cauldron brewing recipes, pouch quickbar, and Druidism creature-lore skill. [Documentation](wiki/Druidism.md). Needs C# rework;Data/Scripts/Magic/Elementalism/ElementalCommands.cs) | Documented 2026-05-08; Needs Rework | High | Elemental shrine focus, 32-spell Elementalism spellbook/commands, scrolls, travel, fields, summons, and damage formulas. [Documentation](wiki/Elementalism.md). Needs C# rework;Data/Scripts/Magic/Enchantments/EnchantMagic.cs) | Documented 2026-05-08; Needs Rework | High | Compiled enchantment spell namespace with fourteen spell classes and a;Data/Scripts/Magic/Holy Man/HolyManSpell.cs) | Documented 2026-05-08; Needs Rework | High | Spiritualism/Healing prayer system with piety-charged;Data/Scripts/Magic/Jedi/JediSpell.cs) | Documented 2026-05-08; Needs Rework | High | Datacron-bound Psychology/Swords force powers, holocron learning, karan crystal charges, quick bars, and laser sword construction. [Documentation](wiki/Jedi_Magic.md). Needs C# rework;Data/Scripts/Magic/Jester/JesterSpell.cs) | Documented 2026-05-08; Needs Rework | Medium | Command-and-gump trick line built around;Data/Scripts/Magic/Mystic/MysticSpell.cs) | Documented 2026-05-08; Needs Rework | High | Monk spellbook, pilgrimage scroll learning, ten FistFighting/tithing abilities, robe, and rucksack. [Documentation](wiki/Mystic_Magic.md). Needs C# rework;Data/Scripts/Magic/Ninjitsu/BookOfNinjitsu.cs) | Documented 2026-05-08; Needs Rework | High | Stealth-based combat techniques, animal forms, mirror images, and ninja projectile tools. [Documentation](wiki/Ninjitsu.md). Needs C# rework;Data/Scripts/Magic/Research/AncientSpellBook.cs) | Documented 2026-05-08; Needs Rework | High | Archmage research pack, ancient spellbook, search-discovery, scribing, and 64-spell command suite. [Documentation](wiki/Research_Magic.md). Needs C# rework;Data/Scripts/Magic/Shinobi/ShinobiSpell.cs) | Documented 2026-05-08; Needs Rework | High | Ninjitsu/tithing ability system with owner-bound;Data/Scripts/Magic/Syth/SythSpell.cs) | Documented 2026-05-08; Needs Rework | High | Dark side spellcasting using datacrons, hell shards, mysticron scrolls, quick bars, and laser sword construction. [Documentation](wiki/Syth_Magic.md). Needs C# rework;Data/Scripts/Magic/Witch/UndeadSpell.cs) | Documented 2026-05-08; Needs Rework | High | Witch cauldron brewing, sixteen;Data/Scripts/Magic/Necromancy/AnimateDeadSpell.cs) | Documented 2026-05-08; Needs Rework | High | Necromancy spellbook and 17-spell line with summons, transformations, curses, and area damage. [Documentation](wiki/Necromancy.md). Needs C# rework;Data/Scripts/System/Chat/Jail.cs) | Documented 2026-05-08; Needs Rework | Medium | Channel-based chat with moderation, private mail, filters, IRC, and multi-server relay. [Documentation](wiki/Chat_System.md). Needs C# rework;Data/Scripts/System/Commands/Add.cs) | Documented 2026-05-08; Needs Rework | High | Core command parser, generic command implementors, direct staff/admin utilities, build/export tools, and player convenience commands. [Documentation](wiki/Command_Utilities.md). Needs C# rework: generic conditional;Data/Scripts/System/Gumps/AddGump.cs) | Documented 2026-05-08; Needs Rework | High | Shared server-side gump runtime, response pipeline, Add/CategorizedAdd staff UI, and reusable gump bases. [Documentation](wiki/Gump_Framework.md). Needs C# rework;Data/Scripts/System/Help/Gumps/HelpGump.cs) | Documented 2026-05-08; Needs Rework | Medium | Client help-button/self-service help gump plus staff page queue;Data/Scripts/System/Misc/AutoRestart.cs) | Documented 2026-05-08; Needs Rework | Medium | Auto-restart/autosave timer cluster with restart commands;Data/Scripts/System/Regions/BaseRegion.cs) | Documented 2026-05-08; Needs Rework | High | XML-backed region registry, shared;Data/Scripts/Quests) | Documented 2026-05-09; Needs Rework | High | Compiled quest package with player quest log;Data/Scripts/Mobiles/Base/BaseCreature.cs) | Documented 2026-05-09; Needs Rework | High | Shared creature AI, targeting, pet orders, taming/loyalty, spawn scaling, loot/death hooks, and tactical targeting. [Documentation](wiki/Creature_AI_Core.md). Needs C# rework;Data/Scripts/Mobiles/Base/BaseVendor.cs) | Documented 2026-05-09; Needs Rework | Medium | NPC vendor catalog loading, buy/sell packet flow, restock, drag/drop services, bulk order turn-ins, and persistence. [Documentation](wiki/Vendor_Core_System.md). Needs C# rework: Sage vendors can exceed the byte-sized buy-list packet count, several paths cast;Data/Scripts/Items/Houses/BaseHouse.cs) | Documented 2026-05-09; Needs Rework | High | Base house placement, ownership/access lists, region rules, storage, decay, transfer, and customization. [Documentation](wiki/Housing_System.md). Needs C# rework: placement road exceptions use caller location instead of target tiles;Data/Scripts/Mobiles/Races/BaseRace.cs) | Documented 2026-05-09; Needs Rework | Medium | Player and NPC special-layer race tokens, gypsy potion shelf selector, creature settings, race persistence, and level-scaled attributes. [Documentation](wiki/Race_Token_System.md). Needs C# rework: gump replies can bypass selector gates, and race changes can delete unrelated;Data/Scripts/Items/Boats/BaseBoat.cs) | Code-Verified 2026-05-06; Needs Rework | High | Base boat movement, docking, cabin access, and map-driven navigation across player ships, carpets, and NPC hull variants. [Documentation](wiki/Boat_Core_Mechanics.md). Needs C# rework;Data/Scripts/System/Commands/Player/AutoSheatheWeapon.cs), [HelpGump.cs](../Data/Scripts/System/Help/Gumps/HelpGump.cs) | Documented 2026-05-09; Needs Rework | Low | Player;Data/Scripts/System/Help/Gumps/HelpGump.cs), [PlayBarbaric.cs](../Data/Scripts/System/Commands/Player/PlayBarbaric.cs), [BarbaricSatchel.cs](../Data/Scripts/Items/Special/BarbaricSatchel.cs), [Skills.cs](../Data/System/Source/Skills.cs) | Documented 2026-05-09; Needs Rework | Medium | Player;Data/Scripts/System/Commands/Player/SkillListing.cs), [HelpGump.cs](../Data/Scripts/System/Help/Gumps/HelpGump.cs) | Documented 2026-05-09; Needs Rework | Low | Alternate condensed skill list using;Data/Scripts/Items/Houses/InteriorDecorator.cs), [HelpGump.cs](../Data/Scripts/System/Help/Gumps/HelpGump.cs) | Documented 2026-05-09; Needs Rework | Low | Homeowner Tools;Data/Scripts/Mobiles/Civilized/Vendors/Banker.cs) | Documented 2026-05-09; Needs Rework | Medium | Keyword-driven banker speech for;Data/Scripts/Mobiles/Civilized/Vendors/RealEstateBroker.cs) | Documented 2026-05-09; Needs Rework | Medium | Speech-keyword house deed appraisal and drag/drop broker buyback using hardcoded 80% refund prices. [Documentation](wiki/Real_Estate_Broker_Appraisal.md). Needs C# rework: refund table duplicates;Data/Scripts/System/Help/Gumps/HelpGump.cs), [SpellBarsManage.cs](../Data/Scripts/System/Commands/Player/SpellBarsManage.cs), [SpellBarsDisplay.cs](../Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs), [SpellBarsCommands.cs](../Data/Scripts/System/Commands/Player/SpellBarsCommands.cs), [SpellBarsFunctions.cs](../Data/Scripts/System/Commands/Player/SpellBarsFunctions.cs) | Documented 2026-05-09; Needs Rework | Medium | Help Gump page for configuring, opening, and closing string-backed player magic toolbars. [Documentation](wiki/Magic_Toolbars_Guide.md). Needs C# rework: fresh Ancient/Magery toolbar defaults omit display-option slots, Help Gump/toolbar paths lack;Data/Scripts/System/Help/Gumps/HelpGump.cs), [SpellHue.cs](../Data/Scripts/System/Commands/Player/SpellHue.cs) | Documented 2026-05-09; Needs Rework | Low | Describes customizing spell effect hues. [Documentation](wiki/Magery_Spell_Color_Setting.md). Needs C# rework;Data/Scripts/System/Help/Gumps/HelpGump.cs), [Naming.cs](../Data/Scripts/System/Misc/Naming.cs), [Settings.cs](../Data/Scripts/System/Misc/Settings.cs), [Mobile.cs](../Data/System/Source/Mobile.cs), [PlayerMobile.cs](../Data/Scripts/Mobiles/Base/PlayerMobile.cs) | Documented 2026-05-09; Needs Rework | Low | Help Gump option for setting;Data/Scripts/Mobiles/Civilized/Vendors/RealEstateBroker.cs) | Documented 2026-05-09; Intentional Duplicate; Needs Rework | Low | Accepted duplicate audit row for the real estate broker deed appraisal/buyback flow, kept as a deed-oriented alias of;Data/Scripts/Mobiles/Civilized/Vendors/Ranger.cs), [Talk.cs](../Data/Scripts/System/Misc/Talk.cs), [Kindling.cs](../Data/Scripts/Items/Explorers/Kindling.cs), [CamperTent.cs](../Data/Scripts/Items/Explorers/CamperTent.cs), [TrapKit.cs](../Data/Scripts/Items/Traps/TrapKit.cs) | Documented 2026-05-09; Needs Rework | Medium | Ranger context-menu;Data/Scripts/Mobiles/Civilized/Vendors/Shipwright.cs), [DrunkenPirate.cs](../Data/Scripts/Mobiles/Civilized/Vendors/DrunkenPirate.cs), [Talk.cs](../Data/Scripts/System/Misc/Talk.cs), [BaseBoat.cs](../Data/Scripts/Items/Boats/BaseBoat.cs), [DockingLantern.cs](../Data/Scripts/Items/Boats/DockingLantern.cs) | Documented 2026-05-09; Needs Rework | Medium | Shipwright and drunken-pirate context-menu;Data/Scripts/Mobiles/Civilized/Vendors/Mage.cs), [Talk.cs](../Data/Scripts/System/Misc/Talk.cs), [BaseMagicStaff.cs](../Data/Scripts/Items/Wands/BaseMagicStaff.cs), [SpellBarsManage.cs](../Data/Scripts/System/Commands/Player/SpellBarsManage.cs), [SpellBarsDisplay.cs](../Data/Scripts/System/Commands/Player/SpellBarsDisplay.cs) | Documented 2026-05-09; Needs Rework | Medium | Mage context-menu;Data/Scripts/Mobiles/Races/RacePotions.cs) | Documented 2026-05-09 | High | Shelf text, creature selector, and race token transformation flow. [Documentation](wiki/Creature_Transformation_Guide.md). Needs C# rework: gump replies do not revalidate race availability, response handlers lack stale-state guards;Data/Scripts/System/Help/Gumps/HelpGump.cs) | Documented 2026-05-09; Needs Rework | Medium | Help Gump main-page command guide, navigation buttons, and registered player command families. [Documentation](wiki/In_Game_Command_List.md). Needs C# rework;Data/Scripts/Mobiles/Civilized/Vendors/Banker.cs) | Documented 2026-05-09; Intentional Duplicate; Needs Rework | Low | Accepted duplicate audit row for banker keyword speech (;Data/Scripts/Items/Books/DynamicBook.cs) | Documented 2026-05-09; Needs Rework | Medium |;Data/Scripts/System/Help/Gumps/HelpGump.cs) | Documented 2026-05-10 | Medium | HelpGump main-page guide plus library BasicsGump/Guide to Adventure text, command lists, and dungeon difficulty notes. [Documentation](wiki/World_Basics_Commands.md). Needs C# rework;Data/Scripts/System/Misc/Talk.cs) | Documented 2026-05-10 | Medium | Shipwright/DrunkenPirate context-menu sailing advice, return-to-boat key service, launch/dry-dock gates, dock lantern checks, and tiller navigation. [Documentation](wiki/NPC_Shipwright_Sailing_Guide.md). Needs C# rework: return-to-boat charges gold before travel gates complete, dock checks leak pooled enumerables, and boat speech commands are accepted from any contained mobile because;Data/Scripts/System/Misc/Talk.cs), [Mage.cs](../Data/Scripts/Mobiles/Civilized/Vendors/Mage.cs), [BaseMagicStaff.cs](../Data/Scripts/Items/Wands/BaseMagicStaff.cs) | Documented 2026-05-10; Needs Rework | Medium | Mage context-menu;Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs) | Documented 2026-05-10; Needs Rework | Low | Game Master static editing gump package with;Data/Scripts/System/Obsolete/Obsolete.cs) | Documented 2026-05-10; Needs Rework | Low | Legacy compatibility scripts under;Data/Scripts/Magic/Base/Spell.cs) | Documented 2026-05-10; Needs Rework | High | Shared spell cast lifecycle, registry, spell metadata, resource/fizzle gates, disturbance handling, delayed damage context, helper APIs, and transient serialization boundary. [Documentation](wiki/Base_Spell_Framework.md). Needs C# rework;Data/Scripts/Magic/Misc/TravelSpell.cs) | Documented 2026-05-10; Needs Rework | Medium | Miscellaneous;Data/Scripts/Items/Technology/LightSword.cs) | Documented 2026-05-10; Needs Rework | Medium | Sci-fi themed weapons, explosives, tools, dyes, records, space junk, and alien egg quest items under;Data/Scripts/Items/Relics/DDRelicArmor.cs) | Documented 2026-05-10; Needs Rework | Medium | Collectible relic loot, appraisal, vendor/henchman turn-in, addon-deed, tablet-clue, and alternate relic-money package under;Data/Scripts/Items/Farming/FarmableCrop.cs) | Documented 2026-05-10; Needs Rework | Medium | Static harvestable crop items for food, textile resources, wheat, and reagent variants. [Documentation](wiki/Farmable_Crops_System.md). Needs C# rework: picked crops remain in the world without unlink/delete cleanup, non-wheat stackable outputs ignore resource-rate and Isles of Dread amount scaling, and;Data/Scripts/Mobiles/Goliaths/OrkDemigod.cs) | Documented 2026-05-10; Needs Rework | Medium | Large humanoid creature families and bosses under","WIKI-0001;WIKI-0002;WIKI-0003;WIKI-0004;WIKI-0005;WIKI-0006;WIKI-0007;WIKI-0008;WIKI-0009;WIKI-0010;WIKI-0011;WIKI-0012;WIKI-0013;WIKI-0014;WIKI-0016;WIKI-0017","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/SystemAudit.md"
"DOC-RISK-0124","Magic Schools","docs/wiki/Syth_Magic.md","Syth Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0091","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Syth_Magic.md"
"DOC-RISK-0125","Bulk Orders","docs/wiki/Taxidermy.md","Taxidermy","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0092","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Taxidermy.md"
"DOC-RISK-0126","Unknown","docs/wiki/Technology_Items.md","Technology Items","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0093","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Technology_Items.md"
"DOC-RISK-0127","Unknown","docs/wiki/tell-a-friend.md","System Name: Tell A Friend Referral","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0094","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/tell-a-friend.md"
"DOC-RISK-0128","Unknown","docs/wiki/The_One_Ring.md","The One Ring","Missing source-backed claim or alias cleanup needed","Canonical","No","","","WIKI-0015","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/The_One_Ring.md"
"DOC-RISK-0129","Unknown","docs/wiki/Trade_Guild_Enhancements.md","Trade Guild Enhancements","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0095","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Trade_Guild_Enhancements.md"
"DOC-RISK-0130","Vendor Core","docs/wiki/Vendor_Core_System.md","Vendor Core System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0096","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Vendor_Core_System.md"
"DOC-RISK-0131","Unknown","docs/wiki/Voting_Rewards.md","System Name: Voting Rewards","Missing source-backed claim or alias cleanup needed","Canonical","No","","","WIKI-0015","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Voting_Rewards.md"
"DOC-RISK-0132","Unknown","docs/wiki/voting-system.md","Legacy Slug: Voting Rewards","Alias or legacy slug has independent claims;Missing source-backed claim or alias cleanup needed","Alias","No","","","","DOC-0097","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/voting-system.md"
"DOC-RISK-0133","Unknown","docs/wiki/wikiautomationmemory.md","Wiki Automation Memory","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0098","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikiautomationmemory.md"
"DOC-RISK-0134","Magic Schools","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0135","Obsolete Scripts","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0136","Regions","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0137","Vendor Core","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0138","Unknown","docs/wiki/wikihandoff.md","Wiki Automation Handoff","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0100","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikihandoff.md"
"DOC-RISK-0139","Unknown","docs/wiki/Witchcraft.md","Witchcraft","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0101","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Witchcraft.md"
"DOC-RISK-0140","Unknown","docs/wiki/World_Basics_Commands.md","World Basics And Commands","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0102","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/World_Basics_Commands.md"
"DOC-RISK-0141","XMLSpawner","docs/wiki/XML_Spawner_Enhancements.md","XML Spawner Enhancements","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0103","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/XML_Spawner_Enhancements.md"
