"BatchId","ReviewRowId","BacklogId","SourceId","Priority","HistoricalStatus","Category","System","Files","OriginalEvidence","Risk","RecommendedFix","Decision","SourceEvidence","Action","Verification","ReviewedBatchId","ReviewedAt","Notes"
"POST-BATCH-G","PBG-001","RB-00001","P10-F00001","P0","Ready","Project include drift","Custom:XMLSpawner","","MovedGumpFolder; count=20; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-002","RB-00002","P10-F00002","P0","Ready","Project include drift","Trades:Bulk Orders","","MovedGumpFolder; count=7; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-003","RB-00003","P10-F00003","P0","Ready","Project include drift","Items:Houses","","MovedGumpFolder; count=7; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-004","RB-00004","P10-F00004","P0","Ready","Project include drift","Items:Misc","","MovedGumpFolder; count=5; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-005","RB-00005","P10-F00005","P0","Ready","Project include drift","System:Help","","MovedGumpFolder; count=5; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-006","RB-00006","P10-F00006","P0","Ready","Project include drift","System:Commands","","MovedGumpFolder; count=5; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-007","RB-00007","P10-F00007","P0","Ready","Project include drift","Trades:Gardening","","MovedGumpFolder; count=4; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-008","RB-00008","P10-F00008","P0","Ready","Project include drift","Trades:Core","","MovedGumpFolder; count=3; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-009","RB-00009","P10-F00009","P0","Ready","Project include drift","Items:Boats","","MovedGumpFolder; count=3; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-010","RB-00010","P10-F00010","P0","Ready","Project include drift","Items:Gifts","","MovedGumpFolder; count=3; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-011","RB-00011","P10-F00011","P0","Ready","Project include drift","Custom:Vhaerun's CRL Homestead System [2.0]","","MovedGumpFolder; count=2; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-012","RB-00012","P10-F00012","P0","Ready","Project include drift","Custom:Government System","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-013","RB-00013","P10-F00013","P0","Ready","Project include drift","Quests:Museum","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-014","RB-00014","P10-F00014","P0","Ready","Project include drift","Trades:Apiculture","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-015","RB-00015","P10-F00015","P0","Ready","Project include drift","Quests:Epic","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-016","RB-00016","P10-F00016","P0","Ready","Project include drift","System:Skills","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-017","RB-00017","P10-F00017","P0","Ready","Project include drift","Magic:Syth","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-018","RB-00018","P10-F00018","P0","Ready","Project include drift","Magic:Holy Man","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-019","RB-00019","P10-F00019","P0","Ready","Project include drift","Magic:Mystic","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
"POST-BATCH-G","PBG-020","RB-00020","P10-F00020","P0","Ready","Project include drift","Magic:Jedi","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","FixedProjectTruthDrift","ScriptsProjectTruth after POST-BATCH-G: project-truth-register.csv has 6581 Scripts.csproj compile includes, 6581 script source files, 0 missing compile targets, 0 unincluded source files, and 0 project cleanup backlog groups.","Reconciled the historical project include drift row to the already completed ScriptsProjectTruth and IDEProjectHygiene repairs; no source, project, runtime, namespace, serialization, XML, config, or file-location change was made in POST-BATCH-G.","Passed: New-ProjectTruthRegister.ps1 regenerated Phase 2 project truth; missing-compile-targets.csv, unincluded-source-files.csv, project-cleanup-backlog.csv, and phase-scoped equivalents are zero rows.","POST-BATCH-G-01A","2026-06-13T20:17:10.5956233-05:00","This is IDE/project-hygiene reconciliation, not live runtime script compile proof. Direct Scripts.csproj Debug/AnyCPU keeps the known standalone Server.csproj platform limitation; maintained ConficturaUO.sln Debug/Any CPU previously passed with warnings after IDEProjectHygiene repair."
