CandidateId,ProposedBatchId,RecommendationRank,Recommendation,BehaviorToChange,System,ExpectedSourceFiles,NonGatedRationale,PostBatchYGateHitCount,PostBatchYGateEvidence,ActiveOverlayRows,ActiveOverlayEvidence,Risks,VerificationRequired,WhatMustStayUnchanged,SourceEvidence,SuggestedGoalShape
SB049-CAND-001,SOURCE-BATCH-049,1,RecommendedNextTarget,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilAmethyst.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilAmethyst",Data/Scripts/Items/Potions/Oils/OilAmethyst.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; expected change is guard-only if blacksmith skill threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilAmethyst.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilAmethyst.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilAmethyst guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilAmethyst.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilAmethyst.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-049 OilAmethyst Guard Repair
SB049-CAND-002,SOURCE-BATCH-050,2,StrongFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilCaddellite.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilCaddellite",Data/Scripts/Items/Potions/Oils/OilCaddellite.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilCaddellite.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilCaddellite.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilCaddellite guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilCaddellite.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilCaddellite.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-050 OilCaddellite Guard Repair
SB049-CAND-003,SOURCE-BATCH-051,3,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilEmerald.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilEmerald",Data/Scripts/Items/Potions/Oils/OilEmerald.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilEmerald.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilEmerald.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilEmerald guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilEmerald.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilEmerald.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-051 OilEmerald Guard Repair
SB049-CAND-004,SOURCE-BATCH-052,4,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilGarnet.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilGarnet",Data/Scripts/Items/Potions/Oils/OilGarnet.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilGarnet.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilGarnet.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilGarnet guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilGarnet.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilGarnet.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-052 OilGarnet Guard Repair
SB049-CAND-005,SOURCE-BATCH-053,5,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilIce.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilIce",Data/Scripts/Items/Potions/Oils/OilIce.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilIce.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilIce.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilIce guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilIce.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilIce.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-053 OilIce Guard Repair
SB049-CAND-006,SOURCE-BATCH-054,6,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilJade.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilJade",Data/Scripts/Items/Potions/Oils/OilJade.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilJade.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilJade.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilJade guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilJade.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilJade.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-054 OilJade Guard Repair
SB049-CAND-007,SOURCE-BATCH-055,7,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilMarble.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilMarble",Data/Scripts/Items/Potions/Oils/OilMarble.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilMarble.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilMarble.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilMarble guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilMarble.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilMarble.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-055 OilMarble Guard Repair
SB049-CAND-008,SOURCE-BATCH-056,8,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilOnyx.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilOnyx",Data/Scripts/Items/Potions/Oils/OilOnyx.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilOnyx.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilOnyx.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilOnyx guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilOnyx.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilOnyx.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-056 OilOnyx Guard Repair
SB049-CAND-009,SOURCE-BATCH-057,9,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilQuartz.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilQuartz",Data/Scripts/Items/Potions/Oils/OilQuartz.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilQuartz.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilQuartz.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilQuartz guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilQuartz.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilQuartz.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-057 OilQuartz Guard Repair
SB049-CAND-010,SOURCE-BATCH-058,10,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilRuby.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilRuby",Data/Scripts/Items/Potions/Oils/OilRuby.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilRuby.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilRuby.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilRuby guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilRuby.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilRuby.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-058 OilRuby Guard Repair
SB049-CAND-011,SOURCE-BATCH-059,11,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilSapphire.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilSapphire",Data/Scripts/Items/Potions/Oils/OilSapphire.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilSapphire.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilSapphire.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilSapphire guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilSapphire.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilSapphire.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-059 OilSapphire Guard Repair
SB049-CAND-012,SOURCE-BATCH-060,12,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilSilver.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilSilver",Data/Scripts/Items/Potions/Oils/OilSilver.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilSilver.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilSilver.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilSilver guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilSilver.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilSilver.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-060 OilSilver Guard Repair
SB049-CAND-013,SOURCE-BATCH-061,13,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilSpinel.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilSpinel",Data/Scripts/Items/Potions/Oils/OilSpinel.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilSpinel.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilSpinel.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilSpinel guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilSpinel.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilSpinel.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-061 OilSpinel Guard Repair
SB049-CAND-014,SOURCE-BATCH-062,14,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilStarRuby.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilStarRuby",Data/Scripts/Items/Potions/Oils/OilStarRuby.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilStarRuby.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilStarRuby.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilStarRuby guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilStarRuby.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilStarRuby.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-062 OilStarRuby Guard Repair
SB049-CAND-015,SOURCE-BATCH-063,15,GoodFollowUpCandidate,"Add stale/null/mobile/backpack/source-oil/target-item/oil-cloth guards to OilTopaz.OnDoubleClick and OilTarget.OnTarget before mobile, backpack, source oil, target item, oil cloth, skill, morph, consumption, or deletion state is dereferenced.","Items:Potions / Oils / OilTopaz",Data/Scripts/Items/Potions/Oils/OilTopaz.cs,"Single gem-specific metal oil item; zero POST-BATCH-Y gate hits; zero active overlay rows; same guard-only pattern as OilAmethyst if blacksmith threshold, metal item eligibility, artifact rejection, oil cloth requirement/deletion, bottle return, morphing behavior, messages, and serialization are preserved.",0,"No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Potions/Oils/OilTopaz.cs.",0,"No active post-audit backlog rows match Data/Scripts/Items/Potions/Oils/OilTopaz.cs.","Gem material morph behavior and oil cloth consumption are user-visible and must not be tuned; implementation should only guard stale/null state and preserve current eligibility/consumption semantics.","POST-BATCH-Y gate scan; active overlay scan; targeted OilTopaz guard scan; oil cloth/deletion and morph behavior preservation scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check; restore generated root build artifacts before staging.","Blacksmith skill threshold 90; metal item eligibility; artifact rejection; oil cloth requirement and deletion; Bottle return; m_Oil.Consume; MorphingItem.MorphMyItem behavior; resource updates; messages; sound 0x23E; serialization layout/versioning; namespace/type/file layout; project/config/data files.","OilTopaz.OnDoubleClick starts at Data/Scripts/Items/Potions/Oils/OilTopaz.cs:34 and calls IsChildOf(from.Backpack) before stale/null guards; OilTarget.OnTarget starts at line 64 and reads from.Backpack, target item state, m_Oil, oil cloth, and morph/consume state.",SOURCE-BATCH-063 OilTopaz Guard Repair
